ID,Year,District,District_Id,Usage_Type,Count,Using_Count,Amount
1581,2016,BEYOĞLU,1186,SANAYİ TESİSLERİ,347,347,94963903.0
1582,2016,BEYOĞLU,1186,RESMİ KURUM,3735,3666,94963903.0
1583,2016,BEYOĞLU,1186,MESKEN,79668,78118,94963903.0
1584,2016,BEYOĞLU,1186,İBADETHANE,181,178,94963903.0
1585,2016,BEYOĞLU,1186,HAYIR KURUMU VE MÜZE,240,238,94963903.0
1586,2016,BÜYÜKÇEKMECE,1782,TİCARİ,12648,9921,98293513.0
1587,2016,BÜYÜKÇEKMECE,1782,SANAYİ TESİSLERİ,58,58,98293513.0
1588,2016,BÜYÜKÇEKMECE,1782,RESMİ KURUM,2674,2614,98293513.0
1589,2016,BÜYÜKÇEKMECE,1782,MESKEN,116142,109701,98293513.0
1590,2016,BÜYÜKÇEKMECE,1782,İBADETHANE,86,81,98293513.0
1591,2016,BÜYÜKÇEKMECE,1782,HAYIR KURUMU VE MÜZE,103,99,98293513.0
1592,2016,ÇATALCA,1237,TİCARİ,2864,1983,8606303.0
1593,2016,ÇATALCA,1237,SANAYİ TESİSLERİ,93,93,8606303.0
1594,2016,ÇATALCA,1237,RESMİ KURUM,721,702,8606303.0
1595,2016,ÇATALCA,1237,MESKEN,23141,22155,8606303.0
1596,2016,ÇATALCA,1237,İBADETHANE,32,32,8606303.0
1597,2016,ÇATALCA,1237,HAYIR KURUMU VE MÜZE,27,6,8606303.0
1598,2016,ÇEKMEKÖY,2052,TİCARİ,9444,7656,89681285.0
1599,2016,ÇEKMEKÖY,2052,SANAYİ TESİSLERİ,121,121,89681285.0
1600,2016,ÇEKMEKÖY,2052,RESMİ KURUM,2654,2631,89681285.0
1601,2016,ÇEKMEKÖY,2052,MESKEN,101823,97305,89681285.0
1602,2016,ÇEKMEKÖY,2052,İBADETHANE,98,80,89681285.0
1603,2016,ÇEKMEKÖY,2052,HAYIR KURUMU VE MÜZE,33,33,89681285.0
1604,2016,ESENLER,2016,TİCARİ,11629,9875,105525464.0
1605,2016,ESENLER,2016,SANAYİ TESİSLERİ,766,766,105525464.0
1606,2016,ESENLER,2016,RESMİ KURUM,3374,2692,105525464.0
1607,2016,ESENLER,2016,MESKEN,135148,134537,105525464.0
1608,2016,ESENLER,2016,İBADETHANE,82,81,105525464.0
1609,2016,ESENLER,2016,HAYIR KURUMU VE MÜZE,141,139,105525464.0
1611,2016,ESENYURT,2053,TİCARİ,35013,25527,324121821.0
1612,2016,ESENYURT,2053,SANAYİ TESİSLERİ,4748,4748,324121821.0
1613,2016,ESENYURT,2053,RESMİ KURUM,3219,2988,324121821.0
1614,2016,ESENYURT,2053,MESKEN,349472,335846,324121821.0
1615,2016,ESENYURT,2053,İBADETHANE,166,127,324121821.0
1616,2016,ESENYURT,2053,HAYIR KURUMU VE MÜZE,168,169,324121821.0
1617,2016,EYÜPSULTAN,1325,DİĞER,83,31,149570502.0
1618,2016,EYÜPSULTAN,1325,TİCARİ,11886,10331,149570502.0
1619,2016,EYÜPSULTAN,1325,SANAYİ TESİSLERİ,229,229,149570502.0
1620,2016,EYÜPSULTAN,1325,RESMİ KURUM,4147,3888,149570502.0
1621,2016,EYÜPSULTAN,1325,MESKEN,145385,142289,149570502.0
1622,2016,EYÜPSULTAN,1325,İBADETHANE,143,147,149570502.0
1623,2016,EYÜPSULTAN,1325,HAYIR KURUMU VE MÜZE,297,295,149570502.0
