ID   ,Year              ,District      ,District_Id ,Usage_Type           ,Count     ,Using_Count ,Amount
1558 ,2016              ,Beþiktaþ      ,       1183 ,Yabancý Temsilcilik  ,179       ,179         ,"164,077,136"
1559 ,2016              ,Beþiktaþ      ,       1183 ,Ticari               ,"28,618"  ,"26,106"    ,"164,077,136"
1560 ,2016              ,Beþiktaþ      ,       1183 ,Sanayi Tesisleri     ,"2,682"   ,"2,682"     ,"164,077,136"
1561 ,2016              ,Beþiktaþ      ,       1183 ,Resmi Kurum          ,"12,669"  ,"11,438"    ,"164,077,136"
1562 ,2016              ,Beþiktaþ      ,       1183 ,Mesken               ,"94,895"  ,"91,793"    ,"164,077,136"
1563 ,2016              ,Beþiktaþ      ,       1183 ,Ýbadethane           ,122       ,120         ,"164,077,136"
1564 ,2016              ,Beþiktaþ      ,       1183 ,Hayýr Kurumu ve Müze ,94        ,94          ,"164,077,136"
1565 ,2016              ,Beykoz        ,       1185 ,Ticari               ,"10,697"  ,"9,695"     ,"104,520,533"
1566 ,2016              ,Beykoz        ,       1185 ,Sanayi Tesisleri     ,228       ,228         ,"104,520,533"
1567 ,2016              ,Beykoz        ,       1185 ,Resmi Kurum          ,"3,301"   ,"3,142"     ,"104,520,533"
1568 ,2016              ,Beykoz        ,       1185 ,Mesken               ,"92,624"  ,"88,237"    ,"104,520,533"
1569 ,2016              ,Beykoz        ,       1185 ,Ýbadethane           ,211       ,210         ,"104,520,533"
1570 ,2016              ,Beykoz        ,       1185 ,Hayýr Kurumu ve Müze ,16        ,16          ,"104,520,533"
1572 ,2016              ,Beylikdüzü    ,       2051 ,Ticari               ,"15,131"  ,"12,765"    ,"144,896,436"
1573 ,2016              ,Beylikdüzü    ,       2051 ,Sanayi Tesisleri     ,457       ,457         ,"144,896,436"
1574 ,2016              ,Beylikdüzü    ,       2051 ,Resmi Kurum          ,"2,585"   ,"2,504"     ,"144,896,436"
1575 ,2016              ,Beylikdüzü    ,       2051 ,Mesken               ,"137,838" ,"134,605"   ,"144,896,436"
1576 ,2016              ,Beylikdüzü    ,       2051 ,Ýbadethane           ,88        ,82          ,"144,896,436"
1577 ,2016              ,Beylikdüzü    ,       2051 ,Hayýr Kurumu ve Müze ,100       ,96          ,"144,896,436"
1579 ,2016              ,Beyoðlu       ,       1186 ,Yabancý Temsilcilik  ,475       ,475         ,"94,963,903"
1580 ,2016              ,Beyoðlu       ,       1186 ,Ticari               ,"27,473"  ,"25,943"    ,"94,963,903"
1581 ,2016              ,Beyoðlu       ,       1186 ,Sanayi Tesisleri     ,347       ,347         ,"94,963,903"
1582 ,2016              ,Beyoðlu       ,       1186 ,Resmi Kurum          ,"3,735"   ,"3,666"     ,"94,963,903"
1583 ,2016              ,Beyoðlu       ,       1186 ,Mesken               ,"79,668"  ,"78,118"    ,"94,963,903"
1584 ,2016              ,Beyoðlu       ,       1186 ,Ýbadethane           ,181       ,178         ,"94,963,903"
1585 ,2016              ,Beyoðlu       ,       1186 ,Hayýr Kurumu ve Müze ,240       ,238         ,"94,963,903"
